Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
30-Jun-1926,7922030,316628371,324550401,1641885,3853844,5495729,6648511,68030996,74679508,857475,4607221,5464697
31-Jul-1926,11361384,329487224,340848608,1809590,4163919,5973509,6416126,63448268,69864394,884802,3803171,4687973
31-Aug-1926,7230377,272948965,280179342,120869,7673937,7794806,4560996,80540968,85101964,9159,6777623,6786782
30-Sep-1926,5201945,245459485,250661430,6722,9571912,9578634,3990967,75900072,79891039,533710,7750472,8284182
31-Oct-1926,5161421,257334031,262495452,8106,11733116,11741221,5535714,75236907,80772622,0,7324827,7324827
30-Nov-1926,16572551,333209582,349782133,2010888,4303122,6314010,8802691,66140014,74942705,507757,3752434,4260191
31-Dec-1926,34062321,391264158,425326479,2749170,5354319,8103488,47573461,56151053,103724514,1936962,2511449,4448411
31-Jan-1927,62250509,420412239,482662747,3246393,4957730,8204123,107980631,51353127,159333758,1185163,2649640,3834803
28-Feb-1927,778097565,600762093,1378859658,227451855,6342939,233794794,429169858,56182981,485352839,126801790,2036711,128838500
31-Mar-1927,28849249,382992302,411841551,1210123,4041256,5251379,41385158,58977065,100362223,2216610,2656140,4872750
30-Apr-1927,85796937,429988596,515785533,4528042,4179748,8707790,131174523,52582915,183757438,2548048,2605312,5153359
31-May-1927,7821208,300772927,308594135,537159,4065965,4603125,5613768,75551709,81165477,181508,4606876,4788384
30-Jun-1927,7756202,297928929,305685131,535295,4208976,4744271,5589829,75225410,80815239,181508,5350321,5531829
31-Jul-1927,22772917,369267535,392040452,3301427,6456024,9757452,17122917,53086492,70209409,1216967,3468412,4685379
31-Aug-1927,9973181,322594735,332567916,1641885,4096825,5738710,6436794,66824300,73261094,857821,4119733,4977554
30-Sep-1927,9781189,318660289,328441479,535295,3854606,4389901,5377118,68992345,74369463,182051,4058798,4240850
31-Oct-1927,6057553,281833888,287891441,116859,6723830,6840688,5699700,75421410,81121109,9159,7740143,7749302
30-Nov-1927,6675259,304621958,311297217,203290,5546605,5749895,6704550,68696476,75401026,9752,6170954,6180706
31-Dec-1927,9867087,313975821,323842908,229811,5366381,5596192,5389630,67892568,73282198,9937,4196237,4206174
31-Jan-1928,15937037,337103851,353040888,1842472,4574434,6416907,9322308,64761360,74083669,831659,3611621,4443280
29-Feb-1928,34315761,374795303,409111064,1808546,3997278,5805824,34052639,59336253,93388892,2153764,2725860,4879624
31-Mar-1928,365314922,510470465,875785386,74186398,5411991,79598389,308864899,59265846,368130745,33156234,2861341,36017575
30-Apr-1928,15063738,359622748,374686485,2835685,4496259,7331944,20320283,58997456,79317739,2146820,2900251,5047071
31-May-1928,12442000,335790123,348232123,3221312,3605983,6827295,6888680,61365021,68253701,884802,3696668,4581470
30-Jun-1928,12781948,341520346,354302294,2980604,4807360,7787964,9209401,59334905,68544306,350509,3608693,3959202
31-Jul-1928,21684322,371357392,393041713,3301044,6571110,9872154,19852190,53033702,72885892,1216967,3104725,4321692
31-Aug-1928,12625999,344368817,356994816,2850855,4679353,7530209,9253874,58359949,67613823,330865,3512716,3843582
