Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Apr-1930,2.37,4.64,0.03,0.06,2.4,4.7
May-1930,2.35,4.59,0.03,0.06,2.37,4.65
Jun-1930,2.47,4.84,0.02,0.04,2.49,4.88
Jul-1930,2.41,4.74,0.06,0.12,2.47,4.86
Aug-1930,2.38,4.66,0.03,0.07,2.42,4.73
Sep-1930,2.39,4.66,0.03,0.06,2.42,4.71
Oct-1930,2.35,4.58,0.03,0.06,2.38,4.64
Nov-1930,2.36,4.61,0.03,0.06,2.39,4.67
Dec-1930,2.44,4.76,0.03,0.06,2.47,4.82
Jan-1931,2.36,4.62,0.03,0.06,2.39,4.68
Feb-1931,2.39,4.66,0.03,0.06,2.42,4.72
Mar-1931,2.38,4.64,0.03,0.06,2.41,4.7
Apr-1931,2.35,4.59,0.03,0.06,2.38,4.66
May-1931,2.36,4.62,0.03,0.06,2.39,4.68
Jun-1931,2.36,4.62,0.03,0.06,2.39,4.68
Jul-1931,2.46,4.84,0.06,0.12,2.51,4.95
Aug-1931,2.3,4.49,0.03,0.06,2.33,4.55
Sep-1931,2.44,4.74,0.03,0.06,2.47,4.8
Oct-1931,2.4,4.68,0.03,0.06,2.42,4.74
Nov-1931,2.38,4.65,0.03,0.06,2.41,4.71
Dec-1931,2.37,4.66,0.03,0.06,2.4,4.72
Jan-1932,2.28,4.46,0.03,0.06,2.31,4.52
Feb-1932,2.35,4.6,0.03,0.06,2.38,4.65
Mar-1932,2.42,4.74,0.03,0.06,2.45,4.79
Apr-1932,2.45,4.78,0.03,0.06,2.47,4.84
May-1932,2.32,4.54,0.03,0.06,2.35,4.59
Jun-1932,2.32,4.55,0.03,0.06,2.35,4.61
Jul-1932,2.36,4.62,0.03,0.06,2.39,4.68
Aug-1932,2.34,4.59,0.03,0.06,2.37,4.65
Sep-1932,2.45,4.75,0.03,0.06,2.48,4.81
Oct-1932,2.48,4.82,0.03,0.06,2.51,4.88
Nov-1932,2.48,4.82,0.03,0.06,2.51,4.88
Dec-1932,2.36,4.62,0.03,0.06,2.38,4.68
Jan-1933,2.37,4.63,0.03,0.06,2.39,4.69
Feb-1933,2.39,4.67,0.03,0.06,2.42,4.73
Mar-1933,2.39,4.67,0.03,0.06,2.42,4.73
Apr-1933,2.47,4.83,0.03,0.06,2.5,4.89
May-1933,2.44,4.79,0.06,0.12,2.5,4.91
Jun-1933,2.39,4.68,0.02,0.04,2.41,4.72
Jul-1933,2.38,4.66,0.03,0.07,2.42,4.73
Aug-1933,2.34,4.56,0.03,0.06,2.37,4.62
Sep-1933,2.48,4.82,0.03,0.06,2.51,4.88
Oct-1933,2.4,4.68,0.03,0.06,2.42,4.74
Nov-1933,2.41,4.7,0.01,0.03,2.42,4.72
Dec-1933,2.34,4.57,0.03,0.06,2.37,4.63
Jan-1934,2.31,4.51,0.03,0.06,2.34,4.57
Feb-1934,2.35,4.59,0.03,0.06,2.38,4.65
Mar-1934,2.37,4.63,0.03,0.06,2.39,4.69
Apr-1934,2.36,4.62,0.03,0.06,2.38,4.68
May-1934,2.46,4.83,0.06,0.12,2.52,4.94
Jun-1934,2.47,4.86,0.06,0.12,2.53,4.97
Jul-1934,2.3,4.49,0.03,0.06,2.33,4.55
Aug-1934,2.36,4.61,0.03,0.06,2.39,4.67
Sep-1934,2.48,4.82,0.03,0.06,2.51,4.88
Oct-1934,2.41,4.7,0.01,0.03,2.42,4.72
Nov-1934,2.3,4.51,0.03,0.06,2.33,4.56
Dec-1934,2.37,4.64,0.03,0.06,2.39,4.69
Jan-1935,2.3,4.5,0.02,0.04,2.32,4.54
Feb-1935,2.34,4.57,0.03,0.06,2.37,4.63
Mar-1935,2.36,4.64,0.03,0.06,2.39,4.7
Apr-1935,2.31,4.53,0.03,0.06,2.34,4.59
May-1935,2.33,4.55,0.01,0.03,2.35,4.57
Jun-1935,2.38,4.65,0.03,0.06,2.41,4.71
Jul-1935,2.41,4.74,0.06,0.12,2.47,4.86
Aug-1935,2.38,4.66,0.03,0.07,2.42,4.73
Sep-1935,2.45,4.75,0.03,0.06,2.48,4.81
Oct-1935,2.38,4.65,0.03,0.06,2.41,4.71
Nov-1935,2.38,4.65,0.03,0.06,2.41,4.71
Dec-1935,2.36,4.62,0.03,0.06,2.38,4.68
Jan-1936,2.21,4.34,0.02,0.04,2.23,4.38
Feb-1936,1.99,3.94,0.17,0.32,2.16,4.26
Mar-1936,2.38,4.65,0.03,0.06,2.41,4.71
Apr-1936,2.36,4.62,0.03,0.06,2.39,4.68
May-1936,2.32,4.53,0.03,0.06,2.35,4.59
Jun-1936,2.32,4.54,0.03,0.06,2.35,4.6
Jul-1936,2.17,4.28,0.09,0.17,2.26,4.45
Aug-1936,2.4,4.72,0.03,0.07,2.44,4.79
Sep-1936,2.39,4.66,0.03,0.06,2.42,4.72
Oct-1936,2.35,4.58,0.03,0.06,2.38,4.64
Nov-1936,2.39,4.67,0.03,0.06,2.42,4.73
Dec-1936,2.39,4.66,0.03,0.06,2.42,4.72
Jan-1937,2.36,4.62,0.03,0.06,2.38,4.68
Feb-1937,2.38,4.68,0.03,0.06,2.41,4.74
Mar-1937,2.32,4.55,0.03,0.06,2.35,4.61
Apr-1937,2.36,4.61,0.03,0.06,2.39,4.67
May-1937,2.29,4.48,0.03,0.06,2.32,4.54
Jun-1937,2.45,4.81,0.06,0.12,2.5,4.93
Jul-1937,2.09,4.13,0.08,0.17,2.17,4.29
Aug-1937,2.46,4.84,0.06,0.12,2.51,4.95
Sep-1937,2.35,4.59,0.03,0.06,2.38,4.65
Oct-1937,2.39,4.66,0.03,0.06,2.42,4.72
Nov-1937,2.31,4.52,0.02,0.04,2.33,4.56
Dec-1937,1.84,3.64,0.41,0.77,2.26,4.42
Jan-1938,2.42,4.7,0.03,0.06,2.45,4.76
Feb-1938,1.32,2.61,2.15,4.1,3.46,6.71
Mar-1938,1.26,2.52,2.83,5.27,4.09,7.79
Apr-1938,1.98,3.91,0.11,0.22,2.09,4.13
May-1938,2.35,4.59,0.03,0.06,2.38,4.65
Jun-1938,2.36,4.62,0.02,0.04,2.38,4.66
Jul-1938,2.33,4.6,0.03,0.06,2.36,4.66
Aug-1938,2.39,4.71,0.03,0.06,2.42,4.77
Sep-1938,2.38,4.65,0.03,0.06,2.41,4.71
Oct-1938,2.36,4.61,0.03,0.06,2.39,4.67
Nov-1938,2.32,4.55,0.03,0.06,2.35,4.61
Dec-1938,2.3,4.5,0.03,0.06,2.33,4.56
Jan-1939,2.35,4.62,0.03,0.06,2.38,4.67
Feb-1939,2.35,4.62,0.03,0.06,2.38,4.67
Mar-1939,2.35,4.6,0.03,0.06,2.38,4.66
Apr-1939,2.46,4.82,0.06,0.12,2.52,4.94
May-1939,2.46,4.83,0.06,0.12,2.52,4.94
