Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Apr-1930,4.62,8.93,0.28,0.54,4.9,9.46
May-1930,4.9,9.5,0.22,0.43,5.12,9.93
Jun-1930,4.48,8.7,0.3,0.59,4.78,9.29
Jul-1930,4.17,8.11,0.36,0.71,4.53,8.82
Aug-1930,5,9.7,0.22,0.44,5.22,10.14
Sep-1930,5.13,9.89,0.26,0.5,5.4,10.39
Oct-1930,5.17,9.96,0.26,0.52,5.43,10.48
Nov-1930,5.06,9.76,0.26,0.51,5.32,10.27
Dec-1930,5.02,9.67,0.26,0.5,5.28,10.16
Jan-1931,3.98,7.74,0.28,0.56,4.26,8.3
Feb-1931,4.49,8.66,0.32,0.63,4.81,9.3
Mar-1931,4.59,8.89,0.28,0.56,4.87,9.45
Apr-1931,4.93,9.49,0.27,0.55,5.2,10.04
May-1931,4.92,9.53,0.26,0.51,5.18,10.04
Jun-1931,4.82,9.34,0.26,0.51,5.07,9.85
Jul-1931,4.34,8.45,0.32,0.64,4.66,9.08
Aug-1931,4.87,9.46,0.22,0.45,5.1,9.91
Sep-1931,5.21,10.03,0.27,0.52,5.48,10.55
Oct-1931,5.13,9.84,0.27,0.53,5.39,10.37
Nov-1931,4.98,9.62,0.26,0.52,5.24,10.14
Dec-1931,3.33,6.51,1.83,3.56,5.15,10.07
Jan-1932,3.74,7.33,0.52,1.03,4.27,8.36
Feb-1932,4.38,8.49,0.29,0.57,4.67,9.06
Mar-1932,4.14,8.02,0.3,0.58,4.44,8.6
Apr-1932,4.67,9.04,0.28,0.54,4.96,9.58
May-1932,4.95,9.58,0.22,0.44,5.17,10.02
Jun-1932,4.75,9.22,0.23,0.45,4.98,9.68
Jul-1932,4.89,9.47,0.24,0.47,5.13,9.94
Aug-1932,5.17,9.98,0.22,0.44,5.39,10.42
Sep-1932,5.07,9.77,0.26,0.5,5.33,10.27
Oct-1932,5.28,10.16,0.26,0.5,5.54,10.66
Nov-1932,5.24,10.09,0.27,0.51,5.51,10.6
